energy, R, scale, proportional
91.23000, 3514.35000, 0.00012015, 0.42225
91.23800, 3533.22000, 0.000120129, 0.424443
91.23900, 3455.58000, 0.000120127, 0.415107
91.25400, 3506.32000, 0.000120087, 0.421064
91.25400, 3507.51000, 0.000120087, 0.421207
91.28000, 3494.95000, 0.000120019, 0.419459
91.28900, 3539.51000, 0.000119995, 0.424723
91.29400, 3490.49000, 0.000119982, 0.418795
91.52900, 3243.08000, 0.000119367, 0.387115
91.95200, 2609.17000, 0.000118271, 0.308589
91.95300, 2554.03000, 0.000118268, 0.302061
91.96700, 2532.80000, 0.000118232, 0.299459
91.96900, 2536.96000, 0.000118227, 0.299937
92.20700, 2140.88000, 0.000117618, 0.251805
92.20900, 2114.61000, 0.000117612, 0.248705
92.21500, 2077.76000, 0.000117597, 0.244339
92.22600, 2150.43000, 0.000117569, 0.252824
92.28200, 2052.25000, 0.000117426, 0.240988
92.56200, 1522.97000, 0.000116717, 0.177757
92.95200, 1237.94000, 0.00011574, 0.143279
92.95300, 1197.88000, 0.000115737, 0.138639
92.96600, 1222.09000, 0.000115705, 0.141402
92.96800, 1193.67000, 0.0001157, 0.138108
93.20800, 1019.13000, 0.000115105, 0.117307
93.20900, 1010.82000, 0.000115102, 0.116348
93.22000, 996.79000, 0.000115075, 0.114706
93.22800, 999.44100, 0.000115055, 0.114991
93.28600, 940.59200, 0.000114912, 0.108086
93.70100, 760.80100, 0.000113897, 0.0866528
93.70200, 750.98700, 0.000113894, 0.0855332
93.71600, 751.54900, 0.00011386, 0.0855716
93.71700, 740.27200, 0.000113858, 0.0842858
94.20200, 540.99700, 0.000112689, 0.0609642
94.20200, 552.75000, 0.000112689, 0.0622886
94.21900, 543.83300, 0.000112648, 0.0612616
94.22300, 555.94500, 0.000112638, 0.0626207
94.27700, 519.56700, 0.000112509, 0.0584561
95.03600, 399.90000, 0.000110719, 0.0442767
130.00000, 14.39440, 5.91716e-05, 0.00085174
130.12000, 13.65550, 5.90625e-05, 0.000806528
130.20000, 12.28570, 5.899e-05, 0.000724733
130.20000, 14.08740, 5.899e-05, 0.000831015
136.08000, 12.68450, 5.40022e-05, 0.000684991
136.10000, 12.66960, 5.39863e-05, 0.000683985
136.20000, 11.20450, 5.39071e-05, 0.000604002
136.20000, 12.40500, 5.39071e-05, 0.000668717
161.30000, 10.22310, 3.84354e-05, 0.000392929
161.30000, 11.20980, 3.84354e-05, 0.000430853
161.30000, 8.20598, 3.84354e-05, 0.0003154
172.10000, 8.26982, 3.37628e-05, 0.000279212
172.10000, 9.49158, 3.37628e-05, 0.000320462
